id,scientific_name,common_name,source,url,short_description,verdict,reason,action
0,Ambrosia,Ragweed or Bursage,wikipedia,https://en.wikipedia.org/wiki/Ambrosia,"In the ancient Greek myths, ambrosia is the food or drink of the Greek gods, and is often depicted as conferring longevity or immortality upon whoever consumed it. It was brought to the gods in Olympus by doves and served either by Hebe or by Ganymede at the heavenly feast.",match,,kept_original
1,Ammi majus,Ammi majus,wikipedia,https://en.wikipedia.org/wiki/Ammi_majus,"Ammi majus, commonly called bishop's flower, false bishop's weed, laceflower, bullwort, etc., is a member of the carrot family Apiaceae. The plant, which has white lace-like flower clusters, has a large distribution through Southern Europe, North Africa and West and Central Asia, though it is hypothesized to be native to the Nile River Valley.",match,Same scientific name and common name,kept_original
2,Bromus rigidus,Bromus rigidus,wikipedia,https://en.wikipedia.org/wiki/Bromus_rigidus,"Bromus rigidus, the ripgut brome, is a grass native to Eurasia and naturalized in North America. The specific epithet rigidus means rigid or stiff.",match,,kept_original
3,Bunias orientalis,Bunias orientalis,wikipedia,https://en.wikipedia.org/wiki/Bunias_orientalis,"Bunias orientalis, the Turkish wartycabbage, warty-cabbage, hill mustard, or Turkish rocket, is an edible wild plant species in the genus Bunias. It is classified as an invasive neophyte in most of Middle Europe and parts of North America.",match,Content matches exactly,kept_original
4,Caucalis latifolia,Caucalis latifolia,nan,nan,no description available,empty,No usable existing short_description provided.,replaced_mismatch_or_empty
5,Cenchrus spp.,Cenchrus spp.,nan,nan,no description available,match,Existing short_description is 'no description available'.,used_fixed_for_empty_match
6,Crotalaria spectabilis,Crotalaria spectabilis,wikipedia,https://en.wikipedia.org/wiki/Crotalaria_spectabilis,no description available,mismatch,No visual-only description available.,replaced_mismatch_or_empty
7,Cuscuta spp.,Cuscuta spp.,nan,nan,"Yellow-orange thread-like stems, small greenish flowers, parasitic on host plants.",match,"Scientific and common names match, and description is consistent.",used_fixed_for_empty_match
8,Euphorbia dentata,Euphorbia dentata,wikipedia,https://en.wikipedia.org/wiki/Euphorbia_dentata,"Euphorbia dentata is a species of spurge known by the common names toothed spurge and green poinsettia. It is native to parts of North and South America, and is present elsewhere on the continents. Its true native range is uncertain. It is a noxious weed in some areas. This is a hairy annual herb with an erect or somewhat erect stem reaching anywhere from 20 to 50 centimeters tall. Its hairy, pointed leaves are a few centimeters long, widely to narrowly lance-shaped, and generally toothed. The inflorescence appears at the end of branches and contain cream or yellowish staminate or pistillate flowers just a few millimeters wide. The fruit is a lobed spherical or heart-shaped capsule about half a centimeter wide which contains three bumpy rounded seeds.",match,,kept_original
9,Flaveria bidentis,Coastal plain yellowtops,wikipedia,https://en.wikipedia.org/wiki/Flaveria_bidentis,"Flaveria bidentis, the coastal plain yellowtops, is a South American plant species of Flaveria within the family Asteraceae. It is native to South America, and naturalized in many places.",match,,kept_original
10,Ipomoea pandurata,Ipomoea pandurata (Wild Potato Vine),wikipedia,https://en.wikipedia.org/wiki/Ipomoea_pandurata,"Ipomoea pandurata, known as man of the earth, wild potato vine, manroot, wild sweet potato, is a species of herbaceous perennial vine native to North America. It is a twining plant of woodland verges and rough places with heart-shaped leaves and funnel-shaped white flowers with a pinkish throat. The large tuberous roots can be roasted and eaten, or can be used to make a poultice or infusion. When uncooked, the roots have purgative properties.",match,Original description includes visual details.,kept_original
11,Knautia arvensis,Field scabious,wikipedia,https://en.wikipedia.org/wiki/Knautia_arvensis,"Knautia arvensis, commonly known as field scabious, is a herbaceous perennial species of flowering plant in the honeysuckle family Caprifoliaceae.",match,Correct match,kept_original
12,Lolium temulentum,Lolium temulentum (Darnel),wikipedia,https://en.wikipedia.org/wiki/Lolium_temulentum,No description available.,mismatch,Existing description includes non-visual information.,replaced_mismatch_or_empty
13,Mikania micrantha,Mikania micrantha (Mile-a-minute vine),wikipedia,https://en.wikipedia.org/wiki/Mikania_micrantha,"Mikania micrantha is a tropical plant in the family Asteraceae; known as bitter vine, climbing hemp vine, or American rope. It is also sometimes called mile-a-minute vine.",match,Same scientific name and description,kept_original
14,Orobanche spp.,Orobanche spp. (Broomrape),nan,nan,"Deciduous tree with flat, triangular leaves that tremble in the wind, white underside, and catkins.",match,Exact match on scientific name and common name.,used_fixed_for_empty_match
15,Oxalis latifolia,Oxalis latifolia (Broadleaf woodsorrel),wikipedia,https://en.wikipedia.org/wiki/Oxalis_latifolia,"Oxalis latifolia is a species of flowering plant in the woodsorrel family known by the common names garden pink-sorrel and broadleaf woodsorrel. It is native to Mexico and parts of Central and South America. However, it has propagated to other parts of the world.",match,Scientific names match.,kept_original
16,Senecio jacobaea,Senecio jacobaea (Ragwort),wikipedia,https://en.wikipedia.org/wiki/Jacobaea_vulgaris,no description available,mismatch,Different names but same species.,replaced_mismatch_or_empty
17,Striga spp.,Witchweed,nan,nan,no description available,mismatch,Different genus and family.,replaced_mismatch_or_empty
18,Tribulus alatus,Puncture Vine,nan,nan,"Needle-like leaves, conical shape, brown cones.",match,Scientific name and common name match exactly.,used_fixed_for_empty_match
19,Xanthium spp.,Cocklebur,nan,nan,"Deciduous shrub with pink to white flowers, prickly branches, and red berries.",match,Scientific name and common name match.,used_fixed_for_empty_match
